id,fecha,texto,likes,sentimiento
225,2026-03-16,A una etapa de estar ahi lpm,1.0,positivo
43,2026-03-16,Muy pronto yo 👏,1.0,positivo
286,2026-03-16,. .,,neutro
303,2026-03-16,❤️❤️👏🏻👏🏻👏🏻👏🏻👏🏻🙌🏻,1.0,positivo
57,2026-03-16,Exitos para todos en esta nueva etapa 🙌🏻👏🏻,8.0,positivo
273,2026-03-16,Mucho sacrificio para entrar .. solo un familiar de quien aingresa sabe de eso . La mejor suerte para todos y cada uno de los que ingresaron hoy .. ew una carrera larga que tiene sus momentos buenos y malos. pero es la mejor vocación que uno puede tener ..,49.0,positivo
16,2026-03-16,Deje a mi hija hace un año con terror me vine llorando hoy es bombero de la ciudad y sigue estudiando mi mayor orgullo!!,25.0,positivo
58,2026-03-16,Muchos éxitos para todos los aspirantes!!,2.0,positivo
249,2026-03-16,Orgullosa de vos hermano te amo ❤️ éxitos para todos !!,3.0,positivo
125,2026-03-16,🙏🇦🇷💪✨,1.0,positivo
83,2026-03-16,Si dios quiere el año que viene voy a estar ahi yo 🤞,52.0,positivo
354,2026-03-16,"Si dios quiere, dentro de poco sere uno de ellos🙌🏻❤️",87.0,positivo
211,2026-03-16,Que emoción. Me traen recuerdos cuando yo ingrese a la fuerza . Un 15 de marzo del año 1994 ... Que orgullo haber pertenecido . Ahora jubilado sólo me quedan recuerdos gratos ..,2.0,positivo
339,2026-03-16,👏👏👏👏👏👮,5.0,positivo
120,2026-03-23,Felicitaciones a todos los cadetes 👏,1.0,positivo
127,2026-03-16,Policía y bomberos de la ciudad: verdadero orgullo de los vecinos de la ciudad Autónoma de Bs As 👏👏👏👏👏👏👏,1.0,positivo
204,2026-03-23,Y la PFA?? Q esta pasando en ella???,,neutro
301,2026-03-16,Buen inicio para todos👏🏻👏🏻👏🏻 !!!,1.0,positivo
140,2026-03-16,Buen inicio para todos👏🏻👏🏻👏🏻 !!!,1.0,positivo
356,2026-03-30,Efeseos 4:30 ser enemigo de tu novio interior es peligroso,,negativo
141,2026-03-16,Éxitos 🙌,1.0,positivo
223,2026-03-16,el año que viene sere uno de ellos 🙌🏻,1.0,positivo
324,2026-03-16,Exito para todos.. 🙌,4.0,positivo
34,2026-03-16,"Orgullosa de vos mi amor, que sea un gran comienzo para tu nueva etapa ❤️@enzof509",3.0,positivo
298,2026-03-16,Muchos éxitos para todos los aspirantes!!,2.0,positivo
221,2026-03-16,"Mí jefa siempre, Insp Jiménez. 🙌",1.0,positivo
148,2026-03-16,Suerte a esa nueva promoción,1.0,positivo
325,2026-03-16,Muchos Éxitos a todos!!!❤️,3.0,positivo
26,2026-03-16,Orgullosa de Vos Hijo 💙 🇦🇷 Que sea un gran comienzo @to_romanokk,21.0,positivo
74,2026-03-16,Suerte a esa nueva promoción,1.0,positivo
268,2026-03-16,"Qué orgullo, poder pagar con mis impuestos la seguridad !!!! Gracias.",,positivo
10,2026-03-16,"Orgullosos de vos hijo mío @aguspaez.0 y de todos los que van a formar parte de cuidar nuestras patria .. ver un poquito de este video me alivio el corazón, ya que vine llorando 🥹. Dios y la virgencita me lo protejan..buen comienzo futuro país!! 💪🏻",6.0,positivo
347,2026-03-16,Éxitos a cada uno de los aspirantes!! A darlo todo!!!👏👏👏,7.0,positivo
149,2026-03-16,Éxitos hija y para todos los cadetes,1.0,positivo
114,2026-03-23,Que hermoso !!,1.0,positivo
40,2026-03-23,Que hermoso !!,1.0,positivo
23,2026-03-16,Hasta formar esas filas no paro 😍👩🏻‍🚒,22.0,positivo
351,2026-03-16,👏👏👏👏,3.0,positivo
95,2026-03-16,Mucha emoción ver a todos esos chic@s con sus bolsos preparados para hacer carrera y servir al pueblo!!!!,21.0,positivo
91,2026-03-16,"Muchos éxitos hija, orgullosa de vos, nos vemos el 6 de marzo ❤️",5.0,positivo
181,2026-03-30,Mucha suerte para todos excitos,,positivo
31,2026-03-16,Exito para todos.. 🙌,4.0,positivo
306,2026-03-16,Mi hijo está ahí. Orgullosa de el.,11.0,positivo
109,2026-03-16,Orgullosa de mi amor ❤️,3.0,positivo
158,2026-03-16,Lo recuerdo como si hubiera sido ayer ❤️😢,9.0,positivo
233,2026-03-16,HONOR y gloria!!!!!,1.0,positivo
56,2026-03-16,Si dios quiere dentro de poco también estaré hay,1.0,positivo
6,2026-03-16,"Felicitaciones a los jóvenes q descubren está hermosa vocación nada es sin sacrificio!! EXITOS A TODOS!mí hijo paso x ahí en época de pandemia fue muy duro para ellos y para nosotros como familia se graduó estuvo dos años pero decidió cambiar y entro en una petrolera ,de todos modos sigue siendo bombero voluntario en Sarandi😍",5.0,positivo
46,2026-03-23,Felicitaciones a todos los cadetes 👏,1.0,positivo
342,2026-03-16,Éxitos hermano 🩵,6.0,positivo
287,2026-03-16,Todo lo mejor lo van a lograr,2.0,positivo
238,2026-03-16,"""Policia"" de la ciudad...😂🤌🏻🤌🏻 fabrica de humo",,negativo
210,2026-03-16,"Orgullosos de vos hijo mío @aguspaez.0 y de todos los que van a formar parte de cuidar nuestras patria .. ver un poquito de este video me alivio el corazón, ya que vine llorando 🥹. Dios y la virgencita me lo protejan..buen comienzo futuro país!! 💪🏻",6.0,positivo
79,2026-03-16,Aguante la policia 👏👏❤️,7.0,positivo
333,2026-03-16,"buena suerte a todos, y nos vemos dentro en el 2027 para los que entran el año que viene!",7.0,positivo
284,2026-03-16,Por ahí anda mí sobri 😍😍😍,2.0,positivo
4,2026-03-16,Mucho sacrificio para entrar .. solo un familiar de quien aingresa sabe de eso . La mejor suerte para todos y cada uno de los que ingresaron hoy .. ew una carrera larga que tiene sus momentos buenos y malos. pero es la mejor vocación que uno puede tener ..,49.0,positivo
117,2026-03-16,Muy pronto yo 👏,1.0,positivo
77,2026-03-16,Me acuerdo ese primer día tenía unos nervios. En 2 días cumplo 5 años perteneciendo a la fuerza. 🙌,40.0,positivo
285,2026-03-16,Orgullosa de mi amor ❤️,3.0,positivo
64,2026-03-16,❤️❤️👏🏻👏🏻👏🏻👏🏻👏🏻🙌🏻,1.0,positivo
47,2026-03-16,👏👏👏el futuro del país!!!!!!🥰 SEAN HONESTOS Y TRABAJEN C PASION PARA CUIDAR NUESTRA TIERRA ❤️❤️❤️❤️❤️❤️❤️,4.0,positivo
212,2026-03-16,Policía y bomberos de la ciudad: verdadero orgullo de los vecinos de la ciudad Autónoma de Bs As 👏👏👏👏👏👏👏,1.0,positivo
78,2026-03-16,Mucho sacrificio para entrar .. solo un familiar de quien aingresa sabe de eso . La mejor suerte para todos y cada uno de los que ingresaron hoy .. ew una carrera larga que tiene sus momentos buenos y malos. pero es la mejor vocación que uno puede tener ..,49.0,positivo
73,2026-03-16,HONOR y gloria!!!!!,1.0,positivo
85,2026-03-23,Suerte 6 adelante exitos totales. ....que dios los cuide y protejan 👏👏👏👏👏👏👏👏👏,2.0,positivo
348,2026-03-16,Cuántos días son la adaptación ahora ?,3.0,neutro
200,2026-03-23,En q provincia es?,,neutro
334,2026-03-16,Muy bien disciplina 👏 lo mejor que pudieron hacer jóvenes a estudiar y servir al pais👏,17.0,positivo
94,2026-03-16,Muchos éxitos hijo hoy ingresantes y decidiste cumplir un sueño tu puedes felicitaciones acá estaré esperándote 👏🏼👏🏼👏🏼👏🏼👏🏼,6.0,positivo
199,2026-03-23,Fuerza adelante orgullo pasión honor. Vamos con todo 💪❤️,2.0,positivo
198,2026-03-23,Mi hermano más chico esta ahi❤️ éxitos,1.0,positivo
290,2026-03-16,todos con cara de guerra💂🏿,,neutro
336,2026-03-16,👏👏👏👏,3.0,positivo
232,2026-03-16,Muchos éxitos hijo hoy ingresantes y decidiste cumplir un sueño tu puedes felicitaciones acá estaré esperándote 👏🏼👏🏼👏🏼👏🏼👏🏼,6.0,positivo
76,2026-03-16,"Si dios quiere, dentro de poco sere uno de ellos🙌🏻❤️",87.0,positivo
195,2026-03-23,Dios quiera y mi hijo tome la decisión de ingresar cuando tenga la edad🙏🏼,1.0,positivo
318,2026-03-16,"👏 exitos para todos los aspirantes a Bomberos, en especial a mi hijo Enzo por intentarlo....Dios y la vida dirá ... mucha fuerza. te vamos a extrañar pero estamos felices por éste desafio personal. 💪🏻💜😌",13.0,positivo
17,2026-03-30,Orgullosa de vos Tobias Román 💙🇦🇷👮🏻‍♂️,2.0,positivo
67,2026-03-16,Éxitos 🙌,1.0,positivo
133,2026-03-16,EXITOS !!! A TODOS LOS ASPIRANTES!!!👏👏❤️❤️❤️❤️,2.0,positivo
8,2026-03-16,Si dios quiere el año que viene voy a estar ahi yo 🤞,52.0,positivo
193,2026-03-23,Que hermoso !!,1.0,positivo
153,2026-03-16,"Felicidades para mi hija y cada uno de los chicos ,dios los acompañe.",1.0,positivo
319,2026-03-16,Orgullo nacional 👏👏 Mucha Suerte a todos!,6.0,positivo
315,2026-03-16,QUE HERMOSO MOMENTO ! 🙌 #INOLVIDABLE Que Dios los proteja siempre y que el servicio los cruce con excelentes compañeros y jefes 🙏🙏,1.0,positivo
174,2026-05-11,A partir de que edad,,neutro
159,2026-03-16,Te mando todas las fuerzas y abrazos y papá desde el cielo te guía mi hija 🙌 ❤️,10.0,positivo
110,2026-03-16,Cuanta voluntad y sacrificio de familias y que poco beneficio económico los tienen 🙌,3.0,negativo
296,2026-03-16,😢,,negativo
61,2026-03-16,QUE HERMOSO MOMENTO ! 🙌 #INOLVIDABLE Que Dios los proteja siempre y que el servicio los cruce con excelentes compañeros y jefes 🙏🙏,1.0,positivo
115,2026-03-23,Mi hermano más chico esta ahi❤️ éxitos,1.0,positivo
259,2026-03-16,Te Amo hijo !! Orgullosa de vos !!! Felicitaciones para todos 👏👏,5.0,positivo
111,2026-03-23,❤️,1.0,positivo
219,2026-03-16,Mucho Éxito hijo ❤️,1.0,positivo
