id,fecha,texto,likes,sentimiento
1,2026-03-16,"Bienvenidos, les deseo el mejor de los éxitos.",153,
2,2026-03-16,Me acuerdo ese primer día tenía unos nervios. En 2 días cumplo 5 años perteneciendo a la fuerza. 🙌,40,
3,2026-03-16,"Si dios quiere, dentro de poco sere uno de ellos🙌🏻❤️",87,
4,2026-03-16,Mucho sacrificio para entrar .. solo un familiar de quien aingresa sabe de eso . La mejor suerte para todos y cada uno de los que ingresaron hoy .. ew una carrera larga que tiene sus momentos buenos y malos. pero es la mejor vocación que uno puede tener ..,49,
5,2026-03-16,Aguante la policia 👏👏❤️,7,
6,2026-03-16,"Felicitaciones a los jóvenes q descubren está hermosa vocación nada es sin sacrificio!! EXITOS A TODOS!mí hijo paso x ahí en época de pandemia fue muy duro para ellos y para nosotros como familia se graduó estuvo dos años pero decidió cambiar y entro en una petrolera ,de todos modos sigue siendo bombero voluntario en Sarandi😍",5,
7,2026-03-16,"Mi hija entro hoy, que orgullo😍",21,
8,2026-03-16,Si dios quiere el año que viene voy a estar ahi yo 🤞,52,
9,2026-03-16,Exitos a los aspirantes.. ya con entrar en la institución es un orgullo ❤️,13,
10,2026-03-16,"Orgullosos de vos hijo mío @aguspaez.0 y de todos los que van a formar parte de cuidar nuestras patria .. ver un poquito de este video me alivio el corazón, ya que vine llorando 🥹. Dios y la virgencita me lo protejan..buen comienzo futuro país!! 💪🏻",6,
11,2026-03-16,Hace dos años que estoy retirada...y este video me dió mucha nostalgia 😌 muchos éxitos para todos!!,16,
12,2026-03-16,😍😍😍que lindo por dios....orgullo de tener a mi hijo en esta nueva etapa....suerte .,24,
13,2026-03-23,Suerte 6 adelante exitos totales. ....que dios los cuide y protejan 👏👏👏👏👏👏👏👏👏,2,
14,2026-03-16,Te Amo hijo !! Orgullosa de vos !!! Felicitaciones para todos 👏👏,5,
15,2026-03-16,"Exitos a todos! Gracias por las imágenes, hacen que los extrañemos un poquito menos ❤️‍🩹 Orgullosa de mi amor!",11,
16,2026-03-16,Deje a mi hija hace un año con terror me vine llorando hoy es bombero de la ciudad y sigue estudiando mi mayor orgullo!!,25,
17,2026-03-30,Orgullosa de vos Tobias Román 💙🇦🇷👮🏻‍♂️,2,
18,2026-03-16,Muchos éxitos hijo hoy ingresantes y decidiste cumplir un sueño tu puedes felicitaciones acá estaré esperándote 👏🏼👏🏼👏🏼👏🏼👏🏼,6,
19,2026-03-16,Mucha emoción ver a todos esos chic@s con sus bolsos preparados para hacer carrera y servir al pueblo!!!!,21,
